Country,Afford_idx,Ava_idx
UGANDA,38.16449412519516,44.41992573509769
MOZAMBIQUE,40.49010550534602,46.07712581843662
BOTSWANA,67.2510437054755,46.2041860026764
RWANDA,25.303361715184618,43.284475092859175
MALAWI,26.34144654820811,44.751965660024034
BURUNDI,21.94739516029576,32.45016941644162
DR CONGO,33.29401200658848,38.71538907520207
ANGOLA,34.81458686614878,40.07244613364236
TANZANIA,41.509360558145225,53.390646683562984
ZAMBIA,36.48283462621934,47.125040528452814
RWANDA,25.303361715184618,43.284475092859175
MALAWI,26.34144654820811,44.751965660024034
BURUNDI,21.94739516029576,32.45016941644162
DR CONGO,33.29401200658848,38.71538907520207
ANGOLA,34.81458686614878,40.07244613364236
TANZANIA,41.509360558145225,53.390646683562984
ZAMBIA,36.48283462621934,47.125040528452814
RWANDA,25.303361715184618,43.284475092859175
MALAWI,26.34144654820811,44.751965660024034
BURUNDI,21.94739516029576,32.45016941644162
DR CONGO,33.29401200658848,38.71538907520207
ANGOLA,34.81458686614878,40.07244613364236
TANZANIA,41.509360558145225,53.390646683562984
ZAMBIA,36.48283462621934,47.125040528452814
